Ticker,Perf_3M,Perf_1M,RSI14,Below_200SMA,Price,SMA200,Rank_3M,Rank_1M,Rank_RSI,Aggregate_Score,Aggregate_Ranking
EEM,,,,,,,1,1,1,3,1
EWZ,,,,,,,2,2,2,6,2
FXI,,,,,,,3,3,3,9,3
GDXJ,,,,,,,4,4,4,12,4
GDXJ,,,,,,,5,5,5,15,5
SLV,,,,,,,6,6,6,18,6
SLV,,,,,,,7,7,7,21,7
TLT,,,,,,,8,8,8,24,8
TLT,,,,,,,9,9,9,27,9
TLT,,,,,,,10,10,10,30,10
TLT,,,,,,,11,11,11,33,11
TLT,,,,,,,12,12,12,36,12
TLT,,,,,,,13,13,13,39,13
TLT,,,,,,,14,14,14,42,14
TLT,,,,,,,15,15,15,45,15
TLT,,,,,,,16,16,16,48,16
TLT,,,,,,,17,17,17,51,17
XLB,,,,,,,18,18,18,54,18
XLE,,,,,,,19,19,19,57,19
XLF,,,,,,,20,20,20,60,20
XLI,,,,,,,21,21,21,63,21
XLK,,,,,,,22,22,22,66,22
XLP,,,,,,,23,23,23,69,23
XLU,,,,,,,24,24,24,72,24
XLV,,,,,,,25,25,25,75,25
XLY,,,,,,,26,26,26,78,26
