Ticker,Error
EEM,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
EWZ,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
FXI,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
GDXJ,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
SLV,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
TLT,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
XLB,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
XLE,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
XLF,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
XLI,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
XLK,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
XLP,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
XLU,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
XLV,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
XLY,"Error tokenizing data. C error: Expected 1 fields in line 6, saw 2
"
